source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴",Călin Georgescu,contra,negativ,ironic,personal_atac,sentiment_vs_stance,
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!",Călin Georgescu,pro,pozitiv,emoțional,personal_susținere,none,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,autoritățile,contra,negativ,agresiv,ordine_publică,none,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,cei care stau acolo sau trec pe acolo cu masina,pro,pozitiv,emoțional,altul,none,
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!",sistemul,contra,negativ,emoțional,altul,sentiment_vs_stance,
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,judecători,contra,negativ,agresiv,justiție,none,
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.",Noua Ordine Mondială,contra,negativ,conspirativ,altul,none,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!",un hot corupt,contra,negativ,agresiv,personal_atac,none,
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul",Crin Antonescu,contra,negativ,ironic,alegeri,none,
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,firme din Galați,neutru,neutru,factual,altul,none,
